MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Black Summer,(2019– ),"
Action, Drama, Horror            ",6.5,"
In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.","
            
    Stars:
Jaime King, 
Justin Chu Cary, 
Christine Lee, 
Zoe Marlett
","25,453",40,
Katla,(2021– ),"
Drama, Mystery, Sci-Fi            ",7.1,"
One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.","
            
    Stars:
Guðrún Ýr Eyfjörð, 
Íris Tanja Flygenring, 
Ingvar Sigurdsson, 
Aliette Opheim
","8,391",,
Gone Girl,-2014,"
Drama, Mystery, Thriller            ",8.1,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","
    Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
","8,95,888",149,$167.77M
Jumanji: Welcome to the Jungle,-2017,"
Action, Adventure, Comedy            ",6.9,"
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
","3,37,900",119,$404.52M
American Psycho,-2000,"
Comedy, Crime, Drama            ",7.6,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","
    Director:
Mary Harron
| 
    Stars:
Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage
","5,17,014",101,$15.07M
House of Cards,(2013–2018),"
Drama            ",8.7,"
A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.","
            
    Stars:
Kevin Spacey, 
Michel Gill, 
Robin Wright, 
Kate Mara
","4,76,656",51,
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),"
Animation, Action, Adventure            ",7.7,"
Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.","
            
    Stars:
Cristina Valenzuela, 
Bryce Papenbrook, 
Keith Silverstein, 
Mela Lee
","8,300",20,
Mayor Grom: Chumnoy Doktor,-2021,"
Action, Adventure            ",6.3,"
Police Major Igor Grom is known throughout St. Petersburg for his penetrative character and irreconcilable attitude towards criminals of all stripes. But everything changes dramatically ...                See full summary »
","
    Director:
Oleg Trofim
| 
    Stars:
Tikhon Zhiznevskiy, 
Lyubov Aksyonova, 
Sergei Goroshko, 
Aleksey Maklakov
","8,466",136,
Demon Slayer: Kimetsu No Yaiba,(2019– ),"
Animation, Action, Fantasy            ",8.7,"
A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","
            
    Stars:
Natsuki Hanae, 
Zach Aguilar, 
Abby Trott, 
Akari Kitô
","46,259",25,
Jane the Virgin,(2014–2019),"
Comedy            ",7.8,"
A young, devout Catholic woman discovers that she was accidentally artificially inseminated.","
            
    Stars:
Gina Rodriguez, 
Andrea Navedo, 
Yael Grobglas, 
Justin Baldoni
","41,758",60,
The Good Wife,(2009–2016),"
Crime, Drama, Mystery            ",8.3,"
Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.","
            
    Stars:
Julianna Margulies, 
Chris Noth, 
Josh Charles, 
Matt Czuchry
","70,021",43,
The Good Place,(2016–2020),"
Comedy, Drama, Fantasy            ",8.2,"
Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.","
            
    Stars:
Kristen Bell, 
William Jackson Harper, 
Jameela Jamil, 
D'Arcy Carden
","1,27,417",22,
The Americans,(2013–2018),"
Crime, Drama, Mystery            ",8.4,"
At the height of the Cold War two Russian agents pose as your average American couple, complete with family.","
            
    Stars:
Keri Russell, 
Matthew Rhys, 
Keidrich Sellati, 
Holly Taylor
","88,962",44,
Glee,(2009–2015),"
Comedy, Drama, Music            ",6.7,"
A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.","
            
    Stars:
Lea Michele, 
Jane Lynch, 
Matthew Morrison, 
Cory Monteith
","1,39,934",44,
Bo Burnham: Inside,(2021 TV Special),"
Comedy, Drama, Music            ",8.7,"
A musical comedy special shot and performed by Bo Burnham, alone, over the course of a very unusual year.","
    Director:
Bo Burnham
| 
    Stars:
Bo Burnham, 
Socko
","31,108",87,
Kill Bill: Vol. 1,-2003,"
Action, Crime, Drama            ",8.1,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen
","10,34,554",111,$70.10M
Bartkowiak,-2021,"
Action, Crime, Sport            ",5,"
After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident.","
    Director:
Daniel Markowicz
| 
    Stars:
Józef Pawlowski, 
Zofia Domalik, 
Szymon Bobrowski, 
Bartlomiej Topa
",398,91,
Castlevania,(2017–2021),"
Animation, Action, Adventure            ",8.3,"
A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.","
            
    Stars:
Richard Armitage, 
James Callis, 
Alejandra Reynoso, 
Theo James
","51,802",23,
300,-2006,"
Action, Drama            ",7.6,"
King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.","
    Director:
Zack Snyder
| 
    Stars:
Gerard Butler, 
Lena Headey, 
David Wenham, 
Dominic West
","7,51,815",117,$210.61M
Dawson's Creek,(1998–2003),"
Drama, Romance            ",6.6,"
Four friends in a small coastal town help each other cope with adolescence.","
            
    Stars:
James Van Der Beek, 
Katie Holmes, 
Michelle Williams, 
Joshua Jackson
","38,117",60,
It,(I) (2017),"
Horror            ",7.3,"
In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","
    Director:
Andy Muschietti
| 
    Stars:
Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis
","4,80,607",135,$327.48M
Pretty Little Liars,(2010–2017),"
Drama, Mystery, Romance            ",7.4,"
Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.","
            
    Stars:
Troian Bellisario, 
Ashley Benson, 
Lucy Hale, 
Shay Mitchell
","1,55,875",44,
Star Trek,(1966–1969),"
Action, Adventure, Sci-Fi            ",8.3,"
In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.","
            
    Stars:
William Shatner, 
Leonard Nimoy, 
DeForest Kelley, 
Nichelle Nichols
","76,213",50,
Archer,(2009– ),"
Animation, Action, Comedy            ",8.6,"
Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.","
            
    Stars:
H. Jon Benjamin, 
Judy Greer, 
Amber Nash, 
Chris Parnell
","1,41,784",22,
Spider-Man: Far from Home,-2019,"
Action, Adventure, Sci-Fi            ",7.5,"
Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","
    Director:
Jon Watts
| 
    Stars:
Tom Holland, 
Samuel L. Jackson, 
Jake Gyllenhaal, 
Marisa Tomei
","3,63,012",129,$390.53M
Twin Peaks,(1990–1991),"
Crime, Drama, Mystery            ",8.8,"
An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.","
            
    Stars:
Kyle MacLachlan, 
Michael Ontkean, 
Mädchen Amick, 
Dana Ashbrook
","1,82,173",47,
The Mitchells vs the Machines,-2021,"
Animation, Adventure, Comedy            ",7.7,"
A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.","
    Directors:
Michael Rianda, 
Jeff Rowe
| 
    Stars:
Abbi Jacobson, 
Danny McBride, 
Maya Rudolph, 
Michael Rianda
","69,482",113,
The Bold Type,(2017–2021),"
Comedy, Drama            ",7.9,"
A glimpse into the outrageous lives and loves of those responsible for a global women's magazine.","
            
    Stars:
Katie Stevens, 
Aisha Dee, 
Meghann Fahy, 
Melora Hardin
","16,183",45,
"Love, Death & Robots",(2019– ),"
Animation, Short, Comedy            ",8.5,"
A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","
            
    Stars:
Scott Whyte, 
Nolan North, 
Steven Pacey, 
Emily O'Brien
","1,20,364",15,
Hostage House,-2021,"
Thriller            ",3.7,"
When an ambitious realtor and her daughter are held hostage during an open house, they must work together to outsmart their captors.","
    Director:
David Benullo
| 
    Stars:
Jennifer Taylor, 
Julia Terranova, 
Emily Sweet, 
Justin C. Schilling
",315,85,
The Hobbit: An Unexpected Journey,-2012,"
Adventure, Fantasy            ",7.8,"
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","
    Director:
Peter Jackson
| 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
","7,74,632",169,$303.00M
Clueless,-1995,"
Comedy, Romance            ",6.8,"
Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","
    Director:
Amy Heckerling
| 
    Stars:
Alicia Silverstone, 
Stacey Dash, 
Brittany Murphy, 
Paul Rudd
","1,94,461",97,$56.63M
Ray Donovan,(2013–2020),"
Crime, Drama            ",8.3,"
Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.","
            
    Stars:
Liev Schreiber, 
Eddie Marsan, 
Dash Mihok, 
Pooch Hall
","79,618",60,
Transformers: War for Cybertron,(2020–2021),"
Animation, Action, Adventure            ",7.4,"
Animated series set in the world of battling Autobots and Decepticons.","
            
    Stars:
Jason Marnocha, 
Frank Todaro, 
Jake Foushee, 
Bill Rogers
","2,923",30,
Baywatch,-2017,"
Action, Comedy, Crime            ",5.5,"
Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","
    Director:
Seth Gordon
| 
    Stars:
Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas
","1,70,844",116,$58.06M
Trollhunters,(2016–2018),"
Animation, Action, Adventure            ",8.4,"
An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.","
            
    Stars:
Charlie Saxton, 
Lexi Medrano, 
Anton Yelchin, 
Kelsey Grammer
","14,759",23,
Snowpiercer,(2020– ),"
Action, Drama, Sci-Fi            ",6.9,"
Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","
            
    Stars:
Daveed Diggs, 
Iddo Goldberg, 
Mickey Sumner, 
Alison Wright
","39,433",60,
Workin' Moms,(2017– ),"
Comedy            ",7.7,"
Four very different thirtysomething working-mother friends try to balance their jobs, family lives, and love lives in modern-day Toronto, Canada.","
            
    Stars:
Catherine Reitman, 
Dani Kind, 
Juno Rinaldi, 
Philip Sternberg
","12,896",30,
The Devil All the Time,-2020,"
Crime, Drama, Thriller            ",7.1,"
Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.","
    Director:
Antonio Campos
| 
    Stars:
Tom Holland, 
Bill Skarsgård, 
Riley Keough, 
Jason Clarke
","1,08,684",138,
Broadchurch,(2013–2017),"
Crime, Drama, Mystery            ",8.4,"
The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.","
            
    Stars:
David Tennant, 
Olivia Colman, 
Jodie Whittaker, 
Andrew Buchan
","1,00,611",48,
Fast & Furious 7,-2015,"
Action, Adventure, Thriller            ",7.1,"
Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.","
    Director:
James Wan
| 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham
","3,71,194",137,$353.01M
L.A.'s Finest,(2019–2020),"
Action, Comedy, Crime            ",6,"
The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department.","
            
    Stars:
Jessica Alba, 
Gabrielle Union, 
Duane Martin, 
Zach Gilford
","5,667",60,
Good on Paper,-2021,"
Comedy, Romance            ",5.6,"
After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.","
    Director:
Kimmy Gatewood
| 
    Stars:
Iliza Shlesinger, 
Britney Young, 
Christopher Nicholas Smith, 
Adam Lustick
","8,099",92,
Iron Fist,(2017–2018),"
Action, Adventure, Crime            ",6.5,"
A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.","
            
    Stars:
Finn Jones, 
Jessica Henwick, 
Jessica Stroup, 
Tom Pelphrey
","1,18,859",55,
Too Hot to Handle,(2020– ),"
Game-Show, Reality-TV, Romance            ",4.6,"
On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex.","
            
    Stars:
Desiree Burch, 
Marvin Anthony, 
Chase de Moor, 
Cam Holmes
","10,008",40,
Haseen Dillruba,-2021,"
Crime, Drama, Mystery            ",6.9,"
Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.","
    Director:
Vinil Mathew
| 
    Stars:
Taapsee Pannu, 
Vikrant Massey, 
Harshvardhan Rane, 
Aditya Srivastav
","18,149",135,
Hannibal,(2013–2015),"
Crime, Drama, Horror            ",8.5,"
Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.","
            
    Stars:
Hugh Dancy, 
Mads Mikkelsen, 
Caroline Dhavernas, 
Laurence Fishburne
","2,36,161",44,
Longmire,(2012–2017),"
Action, Crime, Drama            ",8.3,"
Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.","
            
    Stars:
Robert Taylor, 
Katee Sackhoff, 
Lou Diamond Phillips, 
Cassidy Freeman
","30,685",60,
Sicario,-2015,"
Action, Crime, Drama            ",7.6,"
An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.","
    Director:
Denis Villeneuve
| 
    Stars:
Emily Blunt, 
Josh Brolin, 
Benicio Del Toro, 
Jon Bernthal
","3,87,903",121,$46.89M
The Fall,(I) (2013–2016),"
Crime, Drama, Thriller            ",8.1,"
A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.","
            
    Stars:
Gillian Anderson, 
Jamie Dornan, 
John Lynch, 
Aisling Franciosi
","89,590",60,
The Irishman,-2019,"
Biography, Crime, Drama            ",7.8,"
Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.","
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Al Pacino, 
Joe Pesci, 
Harvey Keitel
","3,45,455",209,$7.00M
Jujutsu Kaisen,(2020– ),"
Animation, Action, Adventure            ",8.7,"
A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.","
            
    Stars:
Junya Enoki, 
Adam McArthur, 
Yûichi Nakamura, 
Yuma Uchida
","25,386",24,
The Lord of the Rings: The Return of the King,-2003,"
Action, Adventure, Drama            ",8.9,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
","16,91,777",201,$377.85M
Baby Driver,-2017,"
Action, Crime, Drama            ",7.6,"
After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","
    Director:
Edgar Wright
| 
    Stars:
Ansel Elgort, 
Jon Bernthal, 
Jon Hamm, 
Eiza González
","4,68,655",113,$107.83M
Dynasty,(2017– ),"
Drama            ",7.3,"
Follows two of America's wealthiest families as they feud for control over their fortune and their children.","
            
    Stars:
Elizabeth Gillies, 
Rafael de la Fuente, 
Robert Christopher Riley, 
Sam Adegoke
","16,666",42,
Spider-Man,-2002,"
Action, Adventure, Sci-Fi            ",7.3,"
When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","
    Director:
Sam Raimi
| 
    Stars:
Tobey Maguire, 
Kirsten Dunst, 
Willem Dafoe, 
James Franco
","7,09,684",121,$403.71M
Jumanji: The Next Level,-2019,"
Action, Adventure, Comedy            ",6.7,"
In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Jack Black, 
Kevin Hart, 
Karen Gillan
","2,05,638",123,$316.83M
I Care a Lot,-2020,"
Comedy, Crime, Thriller            ",6.3,"
A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.","
    Director:
J Blakeson
| 
    Stars:
Rosamund Pike, 
Peter Dinklage, 
Eiza González, 
Dianne Wiest
","1,09,059",118,
Love and Monsters,(I) (2020),"
Action, Adventure, Comedy            ",7,"
Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.","
    Director:
Michael Matthews
| 
    Stars:
Dylan O'Brien, 
Jessica Henwick, 
Michael Rooker, 
Dan Ewing
","1,00,693",109,
Awake,(III) (2021),"
Action, Adventure, Drama            ",4.8,"
After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter.","
    Director:
Mark Raso
| 
    Stars:
Gina Rodriguez, 
Ariana Greenblatt, 
Lucius Hoyos, 
Shamier Anderson
","16,262",96,
The Haunting of Hill House,-2018,"
Drama, Horror, Mystery            ",8.6,"
Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","
            
    Stars:
Michiel Huisman, 
Carla Gugino, 
Henry Thomas, 
Elizabeth Reaser
","1,95,117",572,
Things Heard & Seen,-2021,"
Drama, Horror, Mystery            ",5.3,"
An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.","
    Directors:
Shari Springer Berman, 
Robert Pulcini
| 
    Stars:
Amanda Seyfried, 
James Norton, 
Natalia Dyer, 
Alex Neustaedter
","24,250",121,
NCIS: Los Angeles,(2009– ),"
Action, Crime, Drama            ",6.7,"
The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.","
            
    Stars:
Chris O'Donnell, 
Daniela Ruah, 
Barrett Foa, 
LL Cool J
","49,943",43,
Arrival,(II) (2016),"
Drama, Sci-Fi            ",7.9,"
A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.","
    Director:
Denis Villeneuve
| 
    Stars:
Amy Adams, 
Jeremy Renner, 
Forest Whitaker, 
Michael Stuhlbarg
","6,23,912",116,$100.55M
Taxi Driver,-1976,"
Crime, Drama            ",8.2,"
A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Jodie Foster, 
Cybill Shepherd, 
Albert Brooks
","7,52,553",114,$28.26M
Grease,-1978,"
Musical, Romance            ",7.2,"
Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","
    Director:
Randal Kleiser
| 
    Stars:
John Travolta, 
Olivia Newton-John, 
Stockard Channing, 
Jeff Conaway
","2,50,587",110,$188.76M
El inocente,-2021,"
Crime, Drama, Mystery            ",7.9,"
An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.","
            
    Stars:
Mario Casas, 
Xavi Sáez, 
Santi Pons, 
Sam Feuer
","19,980",467,
The Movies That Made Us,(2019– ),"
Documentary            ",7.8,"
The histories of classic popular movies are examined.","
            
    Stars:
Donald Ian Black, 
Danny Wallace, 
Jennifer Julian, 
Frank Price
","3,653",45,
Ragnarok,(2020– ),"
Action, Drama, Fantasy            ",7.5,"
A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless someone intervenes in time.","
            
    Stars:
David Stakston, 
Jonas Strand Gravli, 
Herman Tømmeraas, 
Theresa Frostad Eggesbø
","31,200",45,
The King,(I) (2019),"
Biography, Drama, History            ",7.2,"
Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.","
    Director:
David Michôd
| 
    Stars:
Tom Glynn-Carney, 
Gábor Czap, 
Tom Fisher, 
Edward Ashley
","97,848",140,
Ginny & Georgia,(2021– ),"
Comedy, Drama            ",7.5,"
Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller.","
            
    Stars:
Brianne Howey, 
Antonia Gentry, 
Diesel La Torraca, 
Jennifer Robertson
","35,247",,
Jupiter's Legacy,-2021,"
Action, Adventure, Drama            ",6.7,"
The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty.","
            
    Stars:
Josh Duhamel, 
Ben Daniels, 
Leslie Bibb, 
Andrew Horton
","31,953",56,
Designated Survivor,(2016–2019),"
Action, Drama, Mystery            ",7.5,"
A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.","
            
    Stars:
Kiefer Sutherland, 
Adan Canto, 
Italia Ricci, 
Kal Penn
","81,326",60,
Sing 2,-2021,"
Animation, Adventure, Comedy            ",,"
Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.","
    Director:
Garth Jennings
| 
    Stars:
Matthew McConaughey, 
Taron Egerton, 
Tori Kelly, 
Reese Witherspoon
",,,
White Collar,(2009–2014),"
Comedy, Crime, Drama            ",8.2,"
A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.","
            
    Stars:
Matt Bomer, 
Tim DeKay, 
Willie Garson, 
Tiffani Thiessen
","1,22,230",40,
The Dig,-2021,"
Biography, Drama, History            ",7.1,"
An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.","
    Director:
Simon Stone
| 
    Stars:
Carey Mulligan, 
Ralph Fiennes, 
Lily James, 
Johnny Flynn
","60,598",112,
Knives Out 2,-2022,"
Comedy, Crime, Drama            ",,"
Plot unknown. Sequel to the 2019 film 'Knives Out'.","
    Director:
Rian Johnson
| 
    Stars:
Madelyn Cline, 
Daniel Craig, 
Dave Bautista, 
Kathryn Hahn
",,,
Dirty John,(2018– ),"
Crime, Drama            ",7.2,"
Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.","
            
    Stars:
Connie Britton, 
Christian Slater, 
Eric Bana, 
Amanda Peet
","18,088",44,
The Old Guard,-2020,"
Action, Adventure, Fantasy            ",6.7,"
A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.","
    Director:
Gina Prince-Bythewood
| 
    Stars:
Charlize Theron, 
KiKi Layne, 
Matthias Schoenaerts, 
Marwan Kenzari
","1,41,605",125,
Venom,-2018,"
Action, Adventure, Sci-Fi            ",6.7,"
A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","
    Director:
Ruben Fleischer
| 
    Stars:
Tom Hardy, 
Michelle Williams, 
Riz Ahmed, 
Scott Haze
","3,90,167",112,$213.52M
The Killing,(2011–2014),"
Crime, Drama, Mystery            ",8.2,"
A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.","
            
    Stars:
Mireille Enos, 
Joel Kinnaman, 
Billy Campbell, 
Liam James
","1,02,312",45,
Don't Look Up,-2021,"
Comedy            ",,"
The story of two low-level astronomers, who must go on a giant media tour to warn mankind of an approaching comet that will destroy planet earth.","
    Director:
Adam McKay
| 
    Stars:
Timothée Chalamet, 
Leonardo DiCaprio, 
Jennifer Lawrence, 
Cate Blanchett
",,145,
Skins,(2007–2013),"
Drama            ",8.2,"
The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures.","
            
    Stars:
Kaya Scodelario, 
Nicholas Hoult, 
Joe Dempsie, 
Hannah Murray
","77,286",46,
6 Underground,-2019,"
Action, Thriller            ",6.1,"
Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","
    Director:
Michael Bay
| 
    Stars:
Ryan Reynolds, 
Mélanie Laurent, 
Manuel Garcia-Rulfo, 
Ben Hardy
","1,50,455",128,
The Fate of the Furious,-2017,"
Action, Adventure, Crime            ",6.6,"
When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","
    Director:
F. Gary Gray
| 
    Stars:
Vin Diesel, 
Jason Statham, 
Dwayne Johnson, 
Michelle Rodriguez
","2,15,795",136,$226.01M
Captain America: Civil War,-2016,"
Action, Adventure, Sci-Fi            ",7.8,"
Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
","6,97,750",147,$408.08M
Rurôni Kenshin: Sai shûshô - The Beginning,-2021,"
Action, Adventure, Drama            ",7.8,"
Kenshin Himura goes up against a mysterious weapons dealer named Enishi Yukishiro. He controls the underworld of China. The secret of Kenshin Himura's ""Jujishou"" is also revealed.","
    Director:
Keishi Ohtomo
| 
    Stars:
Masanobu Andô, 
Towa Araki, 
Kasumi Arimura, 
Kentez Asaka
","1,976",137,
Death Note: Desu nôto,(2006–2007),"
Animation, Crime, Drama            ",9,"
An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.","
            
    Stars:
Mamoru Miyano, 
Brad Swaile, 
Vincent Tong, 
Ryô Naitô
","2,62,556",24,
Naruto,(2002–2007),"
Animation, Action, Adventure            ",8.3,"
Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","
            
    Stars:
Junko Takeuchi, 
Maile Flanagan, 
Kate Higgins, 
Chie Nakamura
","79,832",24,
Black Sails,(2014–2017),"
Adventure, Drama            ",8.2,"
Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""","
            
    Stars:
Jessica Parker Kennedy, 
Toby Stephens, 
Hannah New, 
Zach McGowan
","96,550",56,
Run,(I) (2020),"
Mystery, Thriller            ",6.7,"
A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.","
    Director:
Aneesh Chaganty
| 
    Stars:
Sarah Paulson, 
Kiera Allen, 
Sara Sohn, 
Pat Healy
","55,389",90,
